PRODUCT_ID,Y_Class
TEST_000,1
TEST_001,2
TEST_002,2
TEST_003,1
TEST_004,1
TEST_005,2
TEST_006,1
TEST_007,1
TEST_008,1
TEST_009,2
TEST_010,0
TEST_011,2
TEST_012,2
TEST_013,2
TEST_014,0
TEST_015,1
TEST_016,1
TEST_017,2
TEST_018,1
TEST_019,2
TEST_020,2
TEST_021,2
TEST_022,2
TEST_023,2
TEST_024,2
TEST_025,2
TEST_026,1
TEST_027,2
TEST_028,2
TEST_029,2
TEST_030,1
TEST_031,2
TEST_032,2
TEST_033,2
TEST_034,1
TEST_035,0
TEST_036,2
TEST_037,0
TEST_038,2
TEST_039,0
TEST_040,2
TEST_041,0
TEST_042,0
TEST_043,0
TEST_044,0
TEST_045,2
TEST_046,0
TEST_047,0
TEST_048,2
TEST_049,0
TEST_050,2
TEST_051,0
TEST_052,0
TEST_053,2
TEST_054,2
TEST_055,0
TEST_056,0
TEST_057,0
TEST_058,0
TEST_059,0
TEST_060,0
TEST_061,1
TEST_062,2
TEST_063,2
TEST_064,0
TEST_065,0
TEST_066,1
TEST_067,2
TEST_068,0
TEST_069,2
TEST_070,2
TEST_071,0
TEST_072,2
TEST_073,2
TEST_074,2
TEST_075,2
TEST_076,2
TEST_077,2
TEST_078,2
TEST_079,2
TEST_080,2
TEST_081,2
TEST_082,0
TEST_083,2
TEST_084,0
TEST_085,2
TEST_086,0
TEST_087,2
TEST_088,0
TEST_089,1
TEST_090,2
TEST_091,2
TEST_092,2
TEST_093,2
TEST_094,2
TEST_095,2
TEST_096,2
TEST_097,2
TEST_098,2
TEST_099,2
TEST_100,2
TEST_101,2
TEST_102,2
TEST_103,2
TEST_104,2
TEST_105,1
TEST_106,2
TEST_107,2
TEST_108,2
TEST_109,0
TEST_110,2
TEST_111,1
TEST_112,2
TEST_113,2
TEST_114,1
TEST_115,2
TEST_116,0
TEST_117,0
TEST_118,2
TEST_119,2
TEST_120,2
TEST_121,2
TEST_122,2
TEST_123,2
TEST_124,2
TEST_125,2
TEST_126,2
TEST_127,1
TEST_128,0
TEST_129,0
TEST_130,2
TEST_131,2
TEST_132,2
TEST_133,1
TEST_134,2
TEST_135,2
TEST_136,2
TEST_137,2
TEST_138,2
TEST_139,2
TEST_140,2
TEST_141,0
TEST_142,0
TEST_143,2
TEST_144,2
TEST_145,2
TEST_146,2
TEST_147,2
TEST_148,2
TEST_149,0
TEST_150,2
TEST_151,0
TEST_152,0
TEST_153,2
TEST_154,2
TEST_155,0
TEST_156,2
TEST_157,2
TEST_158,2
TEST_159,2
TEST_160,2
TEST_161,2
TEST_162,0
TEST_163,2
TEST_164,2
TEST_165,2
TEST_166,0
TEST_167,0
TEST_168,2
TEST_169,0
TEST_170,0
TEST_171,0
TEST_172,2
TEST_173,2
TEST_174,0
TEST_175,0
TEST_176,2
TEST_177,2
TEST_178,1
TEST_179,2
TEST_180,2
TEST_181,1
TEST_182,0
TEST_183,0
TEST_184,0
TEST_185,1
TEST_186,1
TEST_187,2
TEST_188,2
TEST_189,2
TEST_190,1
TEST_191,2
TEST_192,1
TEST_193,0
TEST_194,0
TEST_195,0
TEST_196,2
TEST_197,1
TEST_198,1
TEST_199,0
TEST_200,1
TEST_201,1
TEST_202,1
TEST_203,1
TEST_204,2
TEST_205,1
TEST_206,2
TEST_207,0
TEST_208,0
TEST_209,2
TEST_210,0
TEST_211,1
TEST_212,0
TEST_213,0
TEST_214,0
TEST_215,2
TEST_216,2
TEST_217,0
TEST_218,0
TEST_219,0
TEST_220,2
TEST_221,1
TEST_222,0
TEST_223,0
TEST_224,1
TEST_225,1
TEST_226,1
TEST_227,1
TEST_228,0
TEST_229,0
TEST_230,2
TEST_231,1
TEST_232,0
TEST_233,1
TEST_234,0
TEST_235,0
TEST_236,1
TEST_237,2
TEST_238,2
TEST_239,1
TEST_240,1
TEST_241,1
TEST_242,1
TEST_243,1
TEST_244,1
TEST_245,1
TEST_246,0
TEST_247,1
TEST_248,2
TEST_249,2
TEST_250,2
TEST_251,2
TEST_252,2
TEST_253,2
TEST_254,2
TEST_255,2
TEST_256,1
TEST_257,1
TEST_258,1
TEST_259,1
TEST_260,2
TEST_261,1
TEST_262,1
TEST_263,2
TEST_264,2
TEST_265,2
TEST_266,2
TEST_267,2
TEST_268,2
TEST_269,2
TEST_270,1
TEST_271,2
TEST_272,2
TEST_273,1
TEST_274,1
TEST_275,0
TEST_276,0
TEST_277,0
TEST_278,0
TEST_279,0
TEST_280,2
TEST_281,2
TEST_282,2
TEST_283,2
TEST_284,2
TEST_285,2
TEST_286,2
TEST_287,0
TEST_288,1
TEST_289,1
TEST_290,2
TEST_291,1
TEST_292,2
TEST_293,2
TEST_294,1
TEST_295,1
TEST_296,1
TEST_297,1
TEST_298,2
TEST_299,1
TEST_300,1
TEST_301,1
TEST_302,1
TEST_303,1
TEST_304,2
TEST_305,2
TEST_306,2
TEST_307,2
TEST_308,2
TEST_309,2
