PRODUCT_ID,Y_Class
TEST_000,1
TEST_001,1
TEST_002,1
TEST_003,2
TEST_004,2
TEST_005,2
TEST_006,1
TEST_007,1
TEST_008,2
TEST_009,2
TEST_010,0
TEST_011,1
TEST_012,2
TEST_013,2
TEST_014,2
TEST_015,1
TEST_016,1
TEST_017,1
TEST_018,1
TEST_019,1
TEST_020,1
TEST_021,1
TEST_022,1
TEST_023,1
TEST_024,1
TEST_025,1
TEST_026,1
TEST_027,1
TEST_028,1
TEST_029,1
TEST_030,1
TEST_031,1
TEST_032,1
TEST_033,1
TEST_034,1
TEST_035,0
TEST_036,0
TEST_037,0
TEST_038,2
TEST_039,0
TEST_040,2
TEST_041,2
TEST_042,2
TEST_043,2
TEST_044,2
TEST_045,1
TEST_046,1
TEST_047,1
TEST_048,1
TEST_049,1
TEST_050,1
TEST_051,1
TEST_052,2
TEST_053,2
TEST_054,2
TEST_055,1
TEST_056,2
TEST_057,2
TEST_058,1
TEST_059,1
TEST_060,1
TEST_061,2
TEST_062,0
TEST_063,2
TEST_064,2
TEST_065,0
TEST_066,2
TEST_067,1
TEST_068,1
TEST_069,1
TEST_070,1
TEST_071,0
TEST_072,2
TEST_073,1
TEST_074,1
TEST_075,1
TEST_076,1
TEST_077,1
TEST_078,1
TEST_079,2
TEST_080,1
TEST_081,1
TEST_082,1
TEST_083,1
TEST_084,1
TEST_085,1
TEST_086,0
TEST_087,2
TEST_088,0
TEST_089,0
TEST_090,1
TEST_091,1
TEST_092,1
TEST_093,1
TEST_094,1
TEST_095,1
TEST_096,1
TEST_097,1
TEST_098,1
TEST_099,1
TEST_100,1
TEST_101,1
TEST_102,1
TEST_103,1
TEST_104,1
TEST_105,1
TEST_106,1
TEST_107,1
TEST_108,1
TEST_109,2
TEST_110,1
TEST_111,1
TEST_112,1
TEST_113,1
TEST_114,2
TEST_115,2
TEST_116,0
TEST_117,0
TEST_118,2
TEST_119,1
TEST_120,1
TEST_121,1
TEST_122,1
TEST_123,1
TEST_124,1
TEST_125,1
TEST_126,1
TEST_127,1
TEST_128,2
TEST_129,2
TEST_130,2
TEST_131,2
TEST_132,2
TEST_133,2
TEST_134,1
TEST_135,1
TEST_136,1
TEST_137,1
TEST_138,1
TEST_139,1
TEST_140,1
TEST_141,2
TEST_142,2
TEST_143,1
TEST_144,1
TEST_145,1
TEST_146,1
TEST_147,1
TEST_148,2
TEST_149,2
TEST_150,2
TEST_151,1
TEST_152,1
TEST_153,2
TEST_154,2
TEST_155,1
TEST_156,2
TEST_157,1
TEST_158,1
TEST_159,1
TEST_160,1
TEST_161,1
TEST_162,1
TEST_163,1
TEST_164,1
TEST_165,1
TEST_166,1
TEST_167,1
TEST_168,1
TEST_169,1
TEST_170,1
TEST_171,2
TEST_172,1
TEST_173,2
TEST_174,1
TEST_175,2
TEST_176,1
TEST_177,1
TEST_178,2
TEST_179,1
TEST_180,1
TEST_181,2
TEST_182,1
TEST_183,1
TEST_184,1
TEST_185,1
TEST_186,1
TEST_187,1
TEST_188,1
TEST_189,1
TEST_190,1
TEST_191,1
TEST_192,1
TEST_193,1
TEST_194,1
TEST_195,1
TEST_196,1
TEST_197,2
TEST_198,1
TEST_199,2
TEST_200,1
TEST_201,2
TEST_202,1
TEST_203,2
TEST_204,1
TEST_205,1
TEST_206,2
TEST_207,1
TEST_208,2
TEST_209,1
TEST_210,2
TEST_211,2
TEST_212,1
TEST_213,2
TEST_214,1
TEST_215,2
TEST_216,2
TEST_217,1
TEST_218,2
TEST_219,1
TEST_220,2
TEST_221,1
TEST_222,1
TEST_223,2
TEST_224,2
TEST_225,2
TEST_226,1
TEST_227,2
TEST_228,1
TEST_229,2
TEST_230,2
TEST_231,2
TEST_232,1
TEST_233,1
TEST_234,1
TEST_235,2
TEST_236,2
TEST_237,2
TEST_238,1
TEST_239,2
TEST_240,2
TEST_241,1
TEST_242,2
TEST_243,1
TEST_244,1
TEST_245,1
TEST_246,1
TEST_247,2
TEST_248,2
TEST_249,2
TEST_250,2
TEST_251,2
TEST_252,2
TEST_253,2
TEST_254,2
TEST_255,2
TEST_256,1
TEST_257,2
TEST_258,1
TEST_259,2
TEST_260,2
TEST_261,2
TEST_262,2
TEST_263,2
TEST_264,1
TEST_265,2
TEST_266,2
TEST_267,2
TEST_268,2
TEST_269,2
TEST_270,2
TEST_271,2
TEST_272,1
TEST_273,2
TEST_274,2
TEST_275,2
TEST_276,2
TEST_277,1
TEST_278,2
TEST_279,2
TEST_280,2
TEST_281,2
TEST_282,2
TEST_283,2
TEST_284,2
TEST_285,2
TEST_286,2
TEST_287,1
TEST_288,2
TEST_289,2
TEST_290,2
TEST_291,2
TEST_292,2
TEST_293,2
TEST_294,1
TEST_295,2
TEST_296,2
TEST_297,1
TEST_298,1
TEST_299,1
TEST_300,1
TEST_301,2
TEST_302,1
TEST_303,1
TEST_304,1
TEST_305,2
TEST_306,1
TEST_307,2
TEST_308,2
TEST_309,2
