PRODUCT_ID,Y_Class
TEST_000,1
TEST_001,2
TEST_002,2
TEST_003,1
TEST_004,0
TEST_005,1
TEST_006,1
TEST_007,0
TEST_008,0
TEST_009,2
TEST_010,1
TEST_011,1
TEST_012,1
TEST_013,0
TEST_014,0
TEST_015,2
TEST_016,1
TEST_017,2
TEST_018,1
TEST_019,1
TEST_020,2
TEST_021,1
TEST_022,2
TEST_023,2
TEST_024,2
TEST_025,2
TEST_026,1
TEST_027,2
TEST_028,2
TEST_029,1
TEST_030,2
TEST_031,1
TEST_032,2
TEST_033,1
TEST_034,1
TEST_035,0
TEST_036,1
TEST_037,0
TEST_038,1
TEST_039,0
TEST_040,1
TEST_041,0
TEST_042,0
TEST_043,1
TEST_044,1
TEST_045,1
TEST_046,1
TEST_047,0
TEST_048,1
TEST_049,1
TEST_050,1
TEST_051,1
TEST_052,0
TEST_053,0
TEST_054,0
TEST_055,0
TEST_056,1
TEST_057,1
TEST_058,0
TEST_059,1
TEST_060,1
TEST_061,0
TEST_062,0
TEST_063,0
TEST_064,0
TEST_065,0
TEST_066,0
TEST_067,1
TEST_068,1
TEST_069,1
TEST_070,1
TEST_071,0
TEST_072,1
TEST_073,1
TEST_074,1
TEST_075,1
TEST_076,1
TEST_077,1
TEST_078,1
TEST_079,1
TEST_080,1
TEST_081,1
TEST_082,1
TEST_083,1
TEST_084,2
TEST_085,1
TEST_086,0
TEST_087,1
TEST_088,0
TEST_089,1
TEST_090,2
TEST_091,1
TEST_092,2
TEST_093,2
TEST_094,1
TEST_095,2
TEST_096,1
TEST_097,2
TEST_098,1
TEST_099,2
TEST_100,1
TEST_101,2
TEST_102,1
TEST_103,2
TEST_104,1
TEST_105,1
TEST_106,2
TEST_107,1
TEST_108,2
TEST_109,1
TEST_110,1
TEST_111,1
TEST_112,1
TEST_113,2
TEST_114,0
TEST_115,0
TEST_116,1
TEST_117,1
TEST_118,1
TEST_119,2
TEST_120,1
TEST_121,1
TEST_122,2
TEST_123,2
TEST_124,1
TEST_125,1
TEST_126,2
TEST_127,1
TEST_128,0
TEST_129,0
TEST_130,0
TEST_131,0
TEST_132,0
TEST_133,1
TEST_134,2
TEST_135,2
TEST_136,1
TEST_137,2
TEST_138,2
TEST_139,1
TEST_140,1
TEST_141,1
TEST_142,0
TEST_143,1
TEST_144,2
TEST_145,2
TEST_146,1
TEST_147,2
TEST_148,1
TEST_149,1
TEST_150,1
TEST_151,2
TEST_152,1
TEST_153,1
TEST_154,1
TEST_155,2
TEST_156,1
TEST_157,2
TEST_158,2
TEST_159,1
TEST_160,1
TEST_161,2
TEST_162,1
TEST_163,2
TEST_164,1
TEST_165,1
TEST_166,1
TEST_167,1
TEST_168,1
TEST_169,2
TEST_170,2
TEST_171,1
TEST_172,2
TEST_173,1
TEST_174,2
TEST_175,1
TEST_176,2
TEST_177,2
TEST_178,1
TEST_179,2
TEST_180,2
TEST_181,1
TEST_182,1
TEST_183,2
TEST_184,1
TEST_185,1
TEST_186,1
TEST_187,2
TEST_188,1
TEST_189,2
TEST_190,1
TEST_191,2
TEST_192,1
TEST_193,2
TEST_194,1
TEST_195,2
TEST_196,2
TEST_197,1
TEST_198,2
TEST_199,2
TEST_200,2
TEST_201,1
TEST_202,2
TEST_203,2
TEST_204,2
TEST_205,2
TEST_206,2
TEST_207,2
TEST_208,2
TEST_209,2
TEST_210,2
TEST_211,2
TEST_212,2
TEST_213,2
TEST_214,2
TEST_215,2
TEST_216,2
TEST_217,2
TEST_218,2
TEST_219,2
TEST_220,2
TEST_221,2
TEST_222,2
TEST_223,2
TEST_224,2
TEST_225,2
TEST_226,2
TEST_227,2
TEST_228,2
TEST_229,2
TEST_230,2
TEST_231,2
TEST_232,2
TEST_233,2
TEST_234,2
TEST_235,2
TEST_236,2
TEST_237,2
TEST_238,2
TEST_239,2
TEST_240,2
TEST_241,2
TEST_242,2
TEST_243,2
TEST_244,2
TEST_245,2
TEST_246,2
TEST_247,2
TEST_248,0
TEST_249,0
TEST_250,0
TEST_251,0
TEST_252,0
TEST_253,0
TEST_254,0
TEST_255,0
TEST_256,2
TEST_257,2
TEST_258,2
TEST_259,2
TEST_260,0
TEST_261,2
TEST_262,2
TEST_263,0
TEST_264,2
TEST_265,2
TEST_266,2
TEST_267,2
TEST_268,2
TEST_269,2
TEST_270,2
TEST_271,2
TEST_272,2
TEST_273,2
TEST_274,2
TEST_275,2
TEST_276,2
TEST_277,2
TEST_278,2
TEST_279,2
TEST_280,0
TEST_281,0
TEST_282,0
TEST_283,0
TEST_284,0
TEST_285,0
TEST_286,0
TEST_287,2
TEST_288,2
TEST_289,2
TEST_290,2
TEST_291,2
TEST_292,0
TEST_293,0
TEST_294,2
TEST_295,2
TEST_296,2
TEST_297,2
TEST_298,2
TEST_299,2
TEST_300,2
TEST_301,2
TEST_302,2
TEST_303,2
TEST_304,2
TEST_305,2
TEST_306,2
TEST_307,2
TEST_308,2
TEST_309,2
