PRODUCT_ID,Y_Class
TEST_000,1
TEST_001,1
TEST_002,1
TEST_003,1
TEST_004,1
TEST_005,1
TEST_006,1
TEST_007,0
TEST_008,0
TEST_009,1
TEST_010,1
TEST_011,1
TEST_012,1
TEST_013,2
TEST_014,0
TEST_015,0
TEST_016,0
TEST_017,2
TEST_018,2
TEST_019,1
TEST_020,1
TEST_021,2
TEST_022,1
TEST_023,0
TEST_024,1
TEST_025,2
TEST_026,0
TEST_027,1
TEST_028,2
TEST_029,2
TEST_030,2
TEST_031,2
TEST_032,2
TEST_033,1
TEST_034,2
TEST_035,0
TEST_036,0
TEST_037,1
TEST_038,1
TEST_039,1
TEST_040,1
TEST_041,0
TEST_042,0
TEST_043,2
TEST_044,0
TEST_045,2
TEST_046,0
TEST_047,0
TEST_048,2
TEST_049,0
TEST_050,2
TEST_051,0
TEST_052,0
TEST_053,0
TEST_054,0
TEST_055,1
TEST_056,2
TEST_057,0
TEST_058,0
TEST_059,0
TEST_060,1
TEST_061,0
TEST_062,0
TEST_063,0
TEST_064,0
TEST_065,0
TEST_066,0
TEST_067,2
TEST_068,2
TEST_069,1
TEST_070,1
TEST_071,1
TEST_072,1
TEST_073,2
TEST_074,2
TEST_075,2
TEST_076,1
TEST_077,2
TEST_078,2
TEST_079,1
TEST_080,0
TEST_081,1
TEST_082,2
TEST_083,1
TEST_084,0
TEST_085,0
TEST_086,1
TEST_087,1
TEST_088,1
TEST_089,1
TEST_090,1
TEST_091,0
TEST_092,1
TEST_093,1
TEST_094,2
TEST_095,1
TEST_096,2
TEST_097,2
TEST_098,0
TEST_099,2
TEST_100,0
TEST_101,2
TEST_102,2
TEST_103,1
TEST_104,1
TEST_105,0
TEST_106,2
TEST_107,0
TEST_108,2
TEST_109,1
TEST_110,0
TEST_111,0
TEST_112,2
TEST_113,2
TEST_114,1
TEST_115,1
TEST_116,1
TEST_117,1
TEST_118,2
TEST_119,2
TEST_120,0
TEST_121,2
TEST_122,1
TEST_123,2
TEST_124,0
TEST_125,2
TEST_126,2
TEST_127,1
TEST_128,1
TEST_129,1
TEST_130,0
TEST_131,0
TEST_132,0
TEST_133,1
TEST_134,1
TEST_135,1
TEST_136,2
TEST_137,0
TEST_138,2
TEST_139,1
TEST_140,2
TEST_141,1
TEST_142,1
TEST_143,0
TEST_144,2
TEST_145,0
TEST_146,2
TEST_147,0
TEST_148,2
TEST_149,2
TEST_150,2
TEST_151,2
TEST_152,2
TEST_153,2
TEST_154,2
TEST_155,2
TEST_156,2
TEST_157,2
TEST_158,0
TEST_159,2
TEST_160,0
TEST_161,0
TEST_162,2
TEST_163,2
TEST_164,1
TEST_165,2
TEST_166,2
TEST_167,2
TEST_168,2
TEST_169,1
TEST_170,2
TEST_171,2
TEST_172,2
TEST_173,1
TEST_174,2
TEST_175,0
TEST_176,2
TEST_177,0
TEST_178,2
TEST_179,1
TEST_180,2
TEST_181,0
TEST_182,0
TEST_183,2
TEST_184,2
TEST_185,0
TEST_186,0
TEST_187,2
TEST_188,2
TEST_189,2
TEST_190,2
TEST_191,0
TEST_192,2
TEST_193,0
TEST_194,2
TEST_195,1
TEST_196,1
TEST_197,2
TEST_198,2
TEST_199,2
TEST_200,2
TEST_201,0
TEST_202,1
TEST_203,2
TEST_204,1
TEST_205,2
TEST_206,1
TEST_207,0
TEST_208,2
TEST_209,1
TEST_210,2
TEST_211,2
TEST_212,2
TEST_213,2
TEST_214,0
TEST_215,2
TEST_216,2
TEST_217,1
TEST_218,2
TEST_219,1
TEST_220,1
TEST_221,1
TEST_222,1
TEST_223,2
TEST_224,1
TEST_225,1
TEST_226,0
TEST_227,1
TEST_228,0
TEST_229,0
TEST_230,0
TEST_231,0
TEST_232,0
TEST_233,0
TEST_234,1
TEST_235,0
TEST_236,0
TEST_237,1
TEST_238,2
TEST_239,0
TEST_240,2
TEST_241,1
TEST_242,2
TEST_243,0
TEST_244,2
TEST_245,2
TEST_246,2
TEST_247,2
TEST_248,0
TEST_249,0
TEST_250,0
TEST_251,0
TEST_252,0
TEST_253,0
TEST_254,0
TEST_255,0
TEST_256,1
TEST_257,0
TEST_258,1
TEST_259,0
TEST_260,0
TEST_261,1
TEST_262,1
TEST_263,0
TEST_264,0
TEST_265,2
TEST_266,0
TEST_267,1
TEST_268,2
TEST_269,2
TEST_270,2
TEST_271,2
TEST_272,1
TEST_273,2
TEST_274,1
TEST_275,0
TEST_276,0
TEST_277,2
TEST_278,0
TEST_279,2
TEST_280,0
TEST_281,0
TEST_282,2
TEST_283,2
TEST_284,0
TEST_285,0
TEST_286,0
TEST_287,1
TEST_288,2
TEST_289,2
TEST_290,0
TEST_291,2
TEST_292,0
TEST_293,0
TEST_294,0
TEST_295,1
TEST_296,1
TEST_297,1
TEST_298,1
TEST_299,1
TEST_300,2
TEST_301,1
TEST_302,2
TEST_303,2
TEST_304,1
TEST_305,1
TEST_306,0
TEST_307,2
TEST_308,0
TEST_309,2
